direction,tick,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean
CCW,48,394194|983585,992143|217074,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,49,941941|835853,921439|170749,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CCW,50,419413|358539,214396|707499,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,51,194130|585394,143965|074992,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,52,941303|853941,439656|749921,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,53,413031|539419,396563|499214,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,54,130311|394194,965631|992143,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,55,303110|941941,656310|921439,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,56,031101|419413,563101|214396,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,57,311015|194130,631012|143965,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,58,110156|941303,310127|439656,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CCW,59,101563|413031,101277|396563,1,5,1,1,29,25,2,55,1.09,2,56,1.07
