direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_mask,BLUE_prime_mask,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean,BLACK_gate_viz,parity_gate_viz
CW,32,707961961752572156733233651011303149149358538954377877459099,833478132521707499214396563101277632978589303611896714547909,987527965167303369549325729101123583145943707741561785381909,303169169358578954337837459019707941941752532156773273651091,011010110110110000000000011011011010110110110000000000011011,707961|459099,833478|547909,1,5,1,1,101000000111111010111111010000101000000110110010111011010000,011010011110101000100100101000111011010100101000000100101000,29,25,2,54,1.11,2,56,1.07,·········█ | ·········· | ·······█·█ | █·····█··· | ·······█·· | █·····█···,·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██
CW,33,079619617525721567332336510113031491493585389543778774590997,334781325217074992143965631012776329785893036118967145479098,875279651673033695493257291011235831459437077415617853819099,031691693585789543378374590197079419417525321567732736510913,110101101101100000000000110110110101101101100000000000110110,079619|590997,334781|479098,1,5,1,1,010000001111110101111110100001010000001101100101110110100001,110100111101010001001001010001110110101001010000001001010000,29,25,2,54,1.11,2,56,1.07,········█· | ·········· | ······█·██ | ·····█···· | ······█··█ | ·····█····,██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██ | ·██······· | ····██·██·
CW,34,796196175257215673323365101130314914935853895437787745909970,347813252170749921439656310127763297858930361189671454790983,752796516730336954932572910112358314594370774156178538190998,316916935857895433783745901970794194175253215677327365109130,101011011011000000000001101101101011011011000000000001101101,796196|909970,347813|790983,1,5,1,1,100000011111101011111101000010100000011011001011101101000010,101001111010100010010010100011101101010010100000010010100001,29,25,2,54,1.11,2,57,1.05,·······█·· | ·········· | ·····█·██· | ····█····· | ·····█··█· | ····█·····,█·█·██·██· | ██········ | ···██·██·█ | █·█·██·██· | ██········ | ···██·██·█
CW,35,961961752572156733233651011303149149358538954377877459099707,478132521707499214396563101277632978589303611896714547909833,527965167303369549325729101123583145943707741561785381909987,169169358578954337837459019707941941752532156773273651091303,010110110110000000000011011011010110110110000000000011011011,961961|099707,478132|909833,1,5,1,1,000000111111010111111010000101000000110110010111011010000101,010011110101000100100101000111011010100101000000100101000011,29,25,2,54,1.11,2,56,1.07,······█··· | ·········· | ····█·██·· | ···█······ | ····█··█·· | ···█······,·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██
CW,36,619617525721567332336510113031491493585389543778774590997079,781325217074992143965631012776329785893036118967145479098334,279651673033695493257291011235831459437077415617853819099875,691693585789543378374590197079419417525321567732736510913031,101101101100000000000110110110101101101100000000000110110110,619617|997079,781325|098334,1,5,1,1,000001111110101111110100001010000001101100101110110100001010,100111101010001001001010001110110101001010000001001010000110,29,25,2,54,1.11,2,56,1.07,·····█···· | ·········· | ···█·██··· | ··█······· | ···█··█··· | ··█·······,█·██·██·██ | ·········· | ·██·██·██· | █·██·██·██ | ·········· | ·██·██·██·
CW,37,196175257215673323365101130314914935853895437787745909970796,813252170749921439656310127763297858930361189671454790983347,796516730336954932572910112358314594370774156178538190998752,916935857895433783745901970794194175253215677327365109130316,011011011000000000001101101101011011011000000000001101101101,196175|970796,813252|983347,1,5,1,1,000011111101011111101000010100000011011001011101101000010100,001111010100010010010100011101101010010100000010010100001101,29,25,2,54,1.11,2,56,1.07,····█····· | ·········· | ··█·██···· | ·█········ | ··█··█···· | ·█········,·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█
CW,38,961752572156733233651011303149149358538954377877459099707961,132521707499214396563101277632978589303611896714547909833478,965167303369549325729101123583145943707741561785381909987527,169358578954337837459019707941941752532156773273651091303169,110110110000000000011011011010110110110000000000011011011010,961752|707961,132521|833478,1,5,1,1,000111111010111111010000101000000110110010111011010000101000,011110101000100100101000111011010100101000000100101000011010,29,25,2,54,1.11,2,56,1.07,···█······ | ·········· | ·█·██····· | █········· | ·█··█····· | █·········,██·██·██·· | ·········█ | █·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█·
CW,39,617525721567332336510113031491493585389543778774590997079619,325217074992143965631012776329785893036118967145479098334781,651673033695493257291011235831459437077415617853819099875279,693585789543378374590197079419417525321567732736510913031691,101101100000000000110110110101101101100000000000110110110101,617525|079619,325217|334781,1,5,1,1,001111110101111110100001010000001101100101110110100001010000,111101010001001001010001110110101001010000001001010000110100,29,25,2,54,1.11,2,56,1.07,··█······· | ·········· | █·██·····█ | ·········· | █··█·····█ | ··········,█·██·██··· | ········██ | ·██·██·█·█ | █·██·██··· | ········██ | ·██·██·█·█
CW,40,175257215673323365101130314914935853895437787745909970796196,252170749921439656310127763297858930361189671454790983347813,516730336954932572910112358314594370774156178538190998752796,935857895433783745901970794194175253215677327365109130316916,011011000000000001101101101011011011000000000001101101101011,175257|796196,252170|347813,1,5,1,1,011111101011111101000010100000011011001011101101000010100000,111010100010010010100011101101010010100000010010100001101001,29,25,2,54,1.11,2,56,1.07,·█········ | ·········█ | ·██·····█· | ·········█ | ··█·····█· | ··········,·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██
CW,41,752572156733233651011303149149358538954377877459099707961961,521707499214396563101277632978589303611896714547909833478132,167303369549325729101123583145943707741561785381909987527965,358578954337837459019707941941752532156773273651091303169169,110110000000000011011011010110110110000000000011011011010110,752572|961961,521707|478132,1,5,1,1,111111010111111010000101000000110110010111011010000101000000,110101000100100101000111011010100101000000100101000011010011,29,25,2,54,1.11,2,56,1.07,█········· | ········█· | ██·····█·· | ········█· | ·█·····█·· | ··········,██·██····· | ······██·█ | █·██·█·██· | ██·██····· | ······██·█ | █·██·█·██·
